Ano de exibição,Título da obra,Público no ano de exibição,Renda (R$) no ano de exibição,Gênero
2019,"Cadê Você, Bernadette?",28825.0,629229.0,Ficção
2019,Cafarnaum,56099.0,894546.0,Ficção
2019,Calmaria,24033.0,486033.0,Ficção
2019,Caminhos Magnéticos,92.0,1082.0,Ficção
2019,Camocim,55.0,165.0,Documentário
2019,Capitã Marvel,8991777.0,146759329.0,Ficção
2019,Carcereiros - O Filmes,193356.0,2621887.0,Ficção
2019,Carros 3,50.0,365.0,Animação
2019,Carta Para Além Dos Muros,3898.0,45935.0,Documentário
2019,Carvana,22.0,84.0,Documentário
2019,Casal Improvável,129350.0,2413461.0,Ficção
2019,Cats,44063.0,916398.0,Ficção
2019,Caverna Dos Sonhos Esquecidos,70.0,1035.0,Documentário
2019,Cemitério Maldito,550885.0,8395749.0,Ficção
2019,Central Do Brasil,263.0,2652.0,Ficção
2019,Cezanne E Eu,19150.0,337341.0,Ficção
2019,Chega De Fiu Fiu,164.0,799.0,Documentário
2019,Chorar De Rir,82715.0,1250625.0,Ficção
2019,Chuva É Cantoria Na Aldeia Dos Mortos,3815.0,42917.0,Ficção
2019,Chá Com As Damas,2183.0,28337.0,Documentário
2019,Cinderela E O Príncipe Secreto,117.0,2188.0,Animação
2019,Cinderela Pop,476714.0,6433928.0,Ficção
2019,Cine Holliúdy 2 - A Chibata Sideral,169970.0,2479403.0,Ficção
2019,Cine São Paulo,438.0,3253.0,Documentário
2019,Climax,10244.0,165276.0,Ficção
2019,Colette,12853.0,194161.0,Ficção
2019,"Com Amor, Simon",273.0,2923.0,Ficção
2019,Como Treinar O Seu Dragão 3,3940204.0,58484475.0,Animação
2019,Como Treinar Seu Dragão 2,509.0,5202.0,Animação
2019,Compra-Me Um Revólver,2178.0,33813.0,Ficção
2019,"Conquistar, Amar E Viver Intensamente",4132.0,53723.0,Ficção
2019,Coringa,9746101.0,156781766.0,Ficção
2019,Creed Ii,675952.0,10549383.0,Ficção
2019,Crime Sem Saída,231238.0,3386306.0,Ficção
2019,Crimes Obscuros,22378.0,344513.0,Ficção
2019,Crítico,86.0,555.0,Documentário
2019,Cubatão - A Volta Do Guará Vermelho,143.0,715.0,Documentário
2019,Culpa,35358.0,581136.0,Ficção
2019,Cyrano - Mon Amour,12334.0,180515.0,Ficção
2019,Cópias - De Volta À Vida,35467.0,598598.0,Ficção
2019,D.P.A. - Detetives do Prédio Azul,14.0,152.0,Ficção
2019,Dafne,3244.0,48459.0,Ficção
2019,De Peito Aberto,1113.0,17936.0,Documentário
2019,De Pernas Pro Ar 3,1838298.0,28463297.0,Ficção
2019,De Repente Uma Família,499.0,9654.0,Ficção
2019,Deadpool 2,111.0,1948.0,Ficção
2019,Depois Da Tempestade,42.0,280.0,Ficção
2019,Depois Do Casamento,36710.0,829117.0,Ficção
2019,Depois Do Fim,584.0,6202.0,Documentário
2019,Desafio De Um Campeão,1965.0,34225.0,Ficção
2019,Deslembro,16500.0,250186.0,Ficção
2019,Detetives do Prédio Azul 2 - O Mistério Italiano,442552.0,5690622.0,Ficção
2019,Deus Não Esta Morto: Uma Luz Na Escuridão,216.0,1572.0,Ficção
2019,Diamantino,1630.0,19725.0,Ficção
2019,Diante Dos Meus Olhos,157.0,1379.0,Documentário
2019,Dias Vazios,1456.0,16511.0,Ficção
2019,Divaldo – O Mensageiro Da Paz,430704.0,6807617.0,Ficção
2019,Divinas Divas,1.0,15.0,Documentário
2019,Divino Amor,35730.0,445821.0,Ficção
2019,Diz A Ela Que Me Viu Chorar,1952.0,14054.0,Documentário
2019,Diários De Classe,1907.0,16559.0,Documentário
2019,Djon África,52.0,156.0,Ficção
2019,Dogman,5277.0,88823.0,Ficção
2019,Dois Papas,17767.0,295113.0,Ficção
2019,Domingo,2666.0,33405.0,Ficção
2019,Dor E Glória,219945.0,4159543.0,Ficção
2019,Dora E A Cidade Perdida,594019.0,8909795.0,Ficção
2019,Doutor Sono,301443.0,4900013.0,Ficção
2019,Downtown Abbey,107645.0,2469095.0,Ficção
2019,Dragon Ball Super: Broly,1293065.0,18119055.0,Animação
2019,Duas Rainhas,81549.0,1778642.0,Ficção
2019,Duda E Os Gnomos,297.0,2508.0,Animação
2019,Dumbo,1849624.0,29682018.0,Ficção
2019,El Hombre Que Cuida,491.0,6906.0,Ficção
2019,"Ela Disse, Ele Disse",244984.0,3457573.0,Ficção
2019,Elegia De Um Crime,866.0,7323.0,Documentário
2019,Eleições,2675.0,22088.0,Documentário
2019,Em Chamas,3012.0,41422.0,Ficção
2019,Em Trânsito,774.0,10802.0,Ficção
2019,Emma E As Cores Da Vida,8807.0,137958.0,Ficção
2019,Encantado,785.0,7276.0,Animação
2019,Encontro De Casais,52.0,1874.0,Ficção
2019,Encontros,25535.0,444556.0,Ficção
2019,Entardecer,16598.0,291788.0,Ficção
2019,Entre Facas E Segredos,470691.0,8330101.0,Ficção
2019,Entre Tempos,5697.0,92075.0,Ficção
2019,Entrevista Com Deus,127.0,1485.0,Ficção
2019,Era O Hotel Cambridge,52.0,270.0,Ficção
2019,Era Uma Vez Em Hollywood,737582.0,14332441.0,Ficção
2019,Era Uma Vez Um Deadpool,10076.0,138360.0,Ficção
2019,Escape Room,528354.0,7948397.0,Ficção
2019,Espero Tua (Re)Volta,2834.0,19738.0,Documentário
2019,Espírito Jovem,1284.0,19321.0,Ficção
2019,Estaremos Sempre Juntos,8148.0,139909.0,Ficção
2019,Estação Do Diabo,253.0,2934.0,Ficção
2019,Estou Me Guardando Para Quando O Carnaval Chegar,10561.0,82168.0,Documentário
2019,Eu Acredito,24433.0,346306.0,Ficção
2019,Eu Não Sou Uma Bruxa,3996.0,58320.0,Ficção
2019,Eu Sinto Muito,2860.0,27359.0,Ficção
2019,Eu Sou Brasileiro,1512.0,14194.0,Ficção
2019,Eu Sou Mais Eu,126718.0,1704761.0,Ficção
2019,Eu Só Posso Imaginar,120.0,874.0,Ficção
2019,Euforia,2018.0,34427.0,Ficção
2019,Excelentíssimos,261.0,1165.0,Documentário
2019,Extraordinário,4849.0,34901.0,Ficção
2019,Feliz Aniversário,8748.0,156351.0,Ficção
2019,Fernando,281.0,3857.0,Documentário
2019,Ferrugem,72.0,435.0,Ficção
2019,Fevereiros,18198.0,237905.0,Documentário
2019,Filhas Do Sol,2456.0,38144.0,Ficção
2019,Filhos Do Pai Eterno,16.0,278.0,Documentário
2019,Filme Paisagem - Um Olhar Sobre Roberto Burle Marx,345.0,5607.0,Documentário
2019,Finalmente Livres,1417.0,24128.0,Ficção
2019,Fogo Contra Fogo - A História De Solomon Mahlangu,120.0,1225.0,Ficção
2019,Fora De Série,9695.0,141663.0,Ficção
2019,Ford Vs Ferrari,289247.0,5865540.0,Ficção
2019,Foro Íntimo,559.0,7178.0,Ficção
2019,Fourteen,871.0,12083.0,Ficção
2019,Frans Krajcberg: Manifesto,1715.0,17690.0,Documentário
2019,Galaxias,47.0,288.0,Documentário
2019,Gloria Bell,30889.0,569879.0,Ficção
2019,Godzilla Ii – Rei Dos Monstros,531661.0,8406747.0,Ficção
2019,Graças A Deus,7011.0,119907.0,Ficção
2019,Green Book - O Guia,620789.0,12754466.0,Ficção
2019,Greta,7927.0,100614.0,Ficção
2019,Gritos e Sussurros,105.0,1024.0,Ficção
2019,Guardiões Da Galáxia Vol. 2,16.0,160.0,Ficção
2019,Guaxuma,263.0,2981.0,Documentário
2019,Guerra Fria,48652.0,778664.0,Ficção
2019,Happy Hour,3049.0,47688.0,Ficção
2019,Hebe - A Estrela Do Brasil,117058.0,1986774.0,Ficção
2019,Hellboy,172859.0,2582744.0,Ficção
2019,Henfil,364.0,2591.0,Documentário
2019,Hereditário,166.0,1525.0,Ficção
2019,Histórias Assustadoras: Para Contar No Escuro,185207.0,2704838.0,Ficção
2019,Histórias Estranhas,780.0,7970.0,Ficção
2019,Homem Comum,70.0,459.0,Documentário
2019,Homem Livre,1411.0,14378.0,Ficção
2019,Homem-Aranha Longe De Casa,6555353.0,106552456.0,Ficção
2019,Homem-Aranha No Aranhaverso,2057620.0,31259777.0,Animação
2019,Homem-Aranha: De Volta ao Lar,244.0,3142.0,Ficção
2019,Homem-Formiga E A Vespa,574.0,4203.0,Ficção
2019,Horácio,1211.0,17273.0,Ficção
2019,Hotel Mumbai,78873.0,1789611.0,Ficção
2019,Hotel Transilvânia 3: Férias Monstruosas,3291.0,22819.0,Animação
2019,Humberto Mauro,273.0,3149.0,Documentário
2019,Ilha Dos Cachorros,4.0,72.0,Animação
2019,Imagem E Palavra,6758.0,109591.0,Ficção
2019,Inezita,873.0,14982.0,Documentário
2019,Inferninho,3765.0,40215.0,Ficção
2019,Infiltrado Na Klan,75867.0,1266807.0,Ficção
2019,Inocencia Roubada,7901.0,101580.0,Ficção
2019,Intimidade Entre Estranhos,157.0,1026.0,Ficção
2019,Intruso,4123.0,33932.0,Ficção
2019,Invasão Ao Serviço Secreto,485206.0,7642791.0,Ficção
2019,It - Capítulo Dois,3152655.0,47683860.0,Ficção
2019,It: A Coisa,1258.0,16921.0,Ficção
2019,Jauja,40.0,290.0,Ficção
2019,Jesus De Nazaré - O Filho De Deus,2548.0,38528.0,Ficção
2019,Joaquim,13.0,190.0,Ficção
2019,John Wick 3: Parabellum,1003691.0,15699846.0,Ficção
2019,"Jorge, O Padroeiro Guerreiro",44.0,741.0,Documentário
2019,Jorginho Guinle - Só Se Vive Uma Vez,966.0,17397.0,Documentário
2019,Jornada Da Vida,26284.0,439702.0,Ficção
2019,Jovens Infelizes Ou Um Homem Que Grita Não É Um Urso Que Dança,237.0,2338.0,Ficção
2019,Jovens Titãs Em Ação! Nos Cinemas,94.0,550.0,Animação
2019,Judy,268.0,3682.0,Ficção
2019,"Juliet, Nua E Crua",17.0,85.0,Ficção
2019,Juntos para Sempre,167212.0,2448584.0,Ficção
2019,Jurassic World - Reino Ameaçado,3408.0,27147.0,Ficção
